lat,lon,gpi,"1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.00362
IQR: 0.0068
N: 70","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.00568
IQR: 0.0111
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.00622
IQR: 0.013
N: 70"
44.467,-0.7269,1404,0.0008879792,,
44.467,-0.7269,1407,0.0039483155,,
44.472,-0.7675,1410,0.0070976936,,
44.472,-0.7675,1411,0.0037963062,,
44.4914,-0.7568,1421,0.018863725,,
44.49126,-0.758,1438,0.0016714387,,
44.7899,-0.5765,1446,0.00030190332,,
44.7899,-0.5765,1450,0.000114862545,,
44.7899,-0.5765,1451,0.0013529212,,
44.666,4.15983,7839,0.017665546,,
44.666,4.15983,7841,0.005488025,,
44.666,4.15983,7846,0.008091286,,
44.666,4.15983,7847,0.017241932,,
44.62833,4.56667,7851,0.010012201,,
44.62833,4.56667,7852,9.675162e-05,,
44.62833,4.56667,7855,0.00061586016,,
44.62833,4.56667,7857,0.0044876887,,
43.88367,5.16483,7863,0.01128215,,
43.88367,5.16483,7866,0.0031979717,,
43.9744,0.3361,7871,0.020241043,,
43.9744,0.3361,7872,0.01780048,,
43.9744,0.3361,7873,0.0022404524,,
43.9936,-0.0469,7885,0.0067599127,,
43.9936,-0.0469,7887,1.963502e-05,,
43.9936,-0.0469,7889,0.0011310398,,
43.9936,-0.0469,7890,9.9916266e-05,,
44.243,4.01017,7892,0.0005588954,,
44.243,4.01017,7895,9.242811e-05,,
43.5472,0.8878,7903,0.013443737,,
43.5472,0.8878,7904,0.017590119,,
43.5472,0.8878,7909,0.021898469,,
43.1733,2.7283,7913,0.0024049003,,
43.1733,2.7283,7917,1.3768216e-05,,
44.73383,4.08383,7921,0.0014390231,,
44.73383,4.08383,7926,0.008824556,,
44.222,4.34483,7929,0.0042164023,,
44.222,4.34483,7932,0.00069628004,,
44.222,4.34483,7935,0.00272928,,
44.222,4.34483,7937,0.00010363281,,
43.1922,1.6436,7939,0.019383462,,
43.1922,1.6436,7940,0.0034563474,,
43.1922,1.6436,7943,0.0060603903,,
43.1922,1.6436,7947,0.0005759451,,
42.96,2.53,7951,0.0037926026,,
42.96,2.53,7954,0.0022478488,,
42.96,2.53,7956,0.0014075111,,
42.96,2.53,7958,0.0070690084,,
43.15,2.9567,7962,4.800324e-05,,
43.15,2.9567,7964,0.0023689992,,
43.15,2.9567,7970,0.0075020352,,
43.6664,0.2217,7975,0.0155637935,,
43.6664,0.2217,7976,0.007530569,,
43.43833,3.40333,7979,0.0015388039,,
43.43833,3.40333,7986,0.0003731131,,
43.43833,3.40333,7990,0.0011358331,,
43.43833,3.40333,7994,0.001632073,,
43.43767,3.40033,7999,0.0068785846,,
43.43767,3.40033,8000,0.0046270997,,
43.43767,3.40033,8001,0.0033584794,,
44.1475,-0.8456,8009,0.0059139626,,
44.1475,-0.8456,8011,0.010672086,,
43.4417,1.88,8012,0.008725361,,
43.4417,1.88,8013,0.0018754202,,
43.825,1.1767,8023,0.007706053,,
43.825,1.1767,8024,0.002517578,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.012431433,,
43.6397,-0.435,8038,0.022453567,,
43.79517,4.09083,8042,0.0014715628,,
43.79517,4.09083,8044,0.0008413085,,
43.79517,4.09083,8051,0.0044821803,,
44.467,-0.7269,1404,,0.0020000013,
44.467,-0.7269,1407,,0.0063351863,
44.472,-0.7675,1410,,0.0099152345,
44.472,-0.7675,1411,,0.0059200143,
44.4914,-0.7568,1421,,0.0062570754,
44.49126,-0.758,1438,,0.002820882,
44.7899,-0.5765,1446,,0.019173097,
44.7899,-0.5765,1450,,0.017627798,
44.7899,-0.5765,1451,,0.024860363,
44.666,4.15983,7839,,0.003030306,
44.666,4.15983,7841,,0.01783747,
44.666,4.15983,7846,,0.013490522,
44.666,4.15983,7847,,0.0032093895,
44.62833,4.56667,7851,,0.0041710404,
44.62833,4.56667,7852,,0.033716016,
44.62833,4.56667,7855,,0.022009963,
44.62833,4.56667,7857,,0.009314201,
43.88367,5.16483,7863,,0.0028439863,
43.88367,5.16483,7866,,0.010608153,
43.9744,0.3361,7871,,0.0009352725,
43.9744,0.3361,7872,,0.00046798,
43.9744,0.3361,7873,,0.0037456527,
43.9936,-0.0469,7885,,0.029600719,
43.9936,-0.0469,7887,,0.012956357,
43.9936,-0.0469,7889,,0.023114555,
43.9936,-0.0469,7890,,0.008301658,
44.243,4.01017,7892,,0.024943855,
44.243,4.01017,7895,,0.036554057,
43.5472,0.8878,7903,,0.00013322198,
43.5472,0.8878,7904,,3.2123015e-05,
43.5472,0.8878,7909,,0.00025485244,
43.1733,2.7283,7913,,0.03345781,
43.1733,2.7283,7917,,0.016942775,
44.73383,4.08383,7921,,0.020523457,
44.73383,4.08383,7926,,0.007558252,
44.222,4.34483,7929,,0.008405689,
44.222,4.34483,7932,,0.013622685,
44.222,4.34483,7935,,0.038160015,
44.222,4.34483,7937,,0.021467023,
43.1922,1.6436,7939,,8.567508e-06,
43.1922,1.6436,7940,,0.004143629,
43.1922,1.6436,7943,,0.0034110877,
43.1922,1.6436,7947,,0.009860591,
42.96,2.53,7951,,0.0060171383,
42.96,2.53,7954,,0.0022040543,
42.96,2.53,7956,,0.007895506,
42.96,2.53,7958,,0.0028673862,
43.15,2.9567,7962,,0.0100109195,
43.15,2.9567,7964,,0.0033763703,
43.15,2.9567,7970,,0.00040527465,
43.6664,0.2217,7975,,1.1085661e-05,
43.6664,0.2217,7976,,0.0011538978,
43.43833,3.40333,7979,,0.007991373,
43.43833,3.40333,7986,,0.00095721945,
43.43833,3.40333,7990,,0.0009825384,
43.43833,3.40333,7994,,0.0006075569,
43.43767,3.40033,7999,,0.00036377832,
43.43767,3.40033,8000,,9.821916e-05,
43.43767,3.40033,8001,,1.2578026e-05,
44.1475,-0.8456,8009,,0.0054712347,
44.1475,-0.8456,8011,,0.010149093,
43.4417,1.88,8012,,0.002897307,
43.4417,1.88,8013,,0.010697541,
43.825,1.1767,8023,,0.0016001865,
43.825,1.1767,8024,,0.005881005,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.00038441274,
43.6397,-0.435,8038,,0.00017522108,
43.79517,4.09083,8042,,0.0033327146,
43.79517,4.09083,8044,,0.004637301,
43.79517,4.09083,8051,,0.0009392551,
44.467,-0.7269,1404,,,0.0027931617
44.467,-0.7269,1407,,,0.007915914
44.472,-0.7675,1410,,,0.012118559
44.472,-0.7675,1411,,,0.007647623
44.4914,-0.7568,1421,,,0.0076378463
44.49126,-0.758,1438,,,0.0039195525
44.7899,-0.5765,1446,,,0.02884305
44.7899,-0.5765,1450,,,0.026683927
44.7899,-0.5765,1451,,,0.035475444
44.666,4.15983,7839,,,2.8037333e-05
44.666,4.15983,7841,,,0.004322993
44.666,4.15983,7846,,,0.002290107
44.666,4.15983,7847,,,1.3629153e-05
44.62833,4.56667,7851,,,0.002241731
44.62833,4.56667,7852,,,0.019162519
44.62833,4.56667,7855,,,0.010730669
44.62833,4.56667,7857,,,0.006084578
43.88367,5.16483,7863,,,0.0013384118
43.88367,5.16483,7866,,,0.007439263
43.9744,0.3361,7871,,,4.60347e-05
43.9744,0.3361,7872,,,4.3310347e-06
43.9744,0.3361,7873,,,0.0067056688
43.9936,-0.0469,7885,,,0.017470231
43.9936,-0.0469,7887,,,0.006281435
43.9936,-0.0469,7889,,,0.01405879
43.9936,-0.0469,7890,,,0.0030951672
44.243,4.01017,7892,,,0.02288628
44.243,4.01017,7895,,,0.03405392
43.5472,0.8878,7903,,,0.00016094717
43.5472,0.8878,7904,,,3.1530668e-05
43.5472,0.8878,7909,,,0.000111038775
43.1733,2.7283,7913,,,0.03234276
43.1733,2.7283,7917,,,0.016152019
44.73383,4.08383,7921,,,0.004500352
44.73383,4.08383,7926,,,0.00012802606
44.222,4.34483,7929,,,0.012407861
44.222,4.34483,7932,,,0.01773447
44.222,4.34483,7935,,,0.044859435
44.222,4.34483,7937,,,0.027593698
43.1922,1.6436,7939,,,0.0034531623
43.1922,1.6436,7940,,,0.00043102063
43.1922,1.6436,7943,,,5.5315713e-06
43.1922,1.6436,7947,,,0.0031218033
42.96,2.53,7951,,,0.003443415
42.96,2.53,7954,,,0.0009619647
42.96,2.53,7956,,,0.006150924
42.96,2.53,7958,,,0.0013824954
43.15,2.9567,7962,,,0.014370363
43.15,2.9567,7964,,,0.00832962
43.15,2.9567,7970,,,0.0030758195
43.6664,0.2217,7975,,,0.00014249556
43.6664,0.2217,7976,,,0.0022292382
43.43833,3.40333,7979,,,0.048056237
43.43833,3.40333,7986,,,0.02590102
43.43833,3.40333,7990,,,0.021073636
43.43833,3.40333,7994,,,0.019174166
43.43767,3.40033,7999,,,0.00949334
43.43767,3.40033,8000,,,0.013010456
43.43767,3.40033,8001,,,0.0151595
44.1475,-0.8456,8009,,,0.0068478556
44.1475,-0.8456,8011,,,0.012074183
43.4417,1.88,8012,,,2.8647153e-05
43.4417,1.88,8013,,,0.001959911
43.825,1.1767,8023,,,1.0734364e-05
43.825,1.1767,8024,,,0.0011706633
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,0.0012712349
43.6397,-0.435,8038,,,1.5955671e-05
43.79517,4.09083,8042,,,0.007331535
43.79517,4.09083,8044,,,0.0073078605
43.79517,4.09083,8051,,,0.0012757895
